Neighborhood,latitude,longitude
Adarsh Nagar,26.9018769,75.8271749
Agra Road,26.9109135,75.83637
Ajmer Road,26.8938114,75.74720839999999
Ajmeri Gate,26.9161157,75.8162613
Ambabari,26.9444814,75.7792992
Amer Road,26.9641483,75.8466641
Bais Godam,26.8971351,75.7863962
Bajaj Nagar,26.8657486,75.8013086
Bani Park,26.930559,75.793611
Bapu Bazaar,26.9163509,75.823275
Bapu Nagar,26.8898252,75.8083612
Barkat Nagar,26.8790027,75.79072699999999
Bhawani Singh Road,26.896874,75.8043331
Biseswarji,26.9194772,75.8236163
Brahmapuri,26.9372789,75.8249742
Chandpol,26.9242026,75.81344639999999
Civil Lines,26.9059311,75.78443829999999
Durgapura,26.8517972,75.7862232
Gangori Bazar,26.9288794,75.816042
Ghat Darwaza,26.917188,75.82942729999999
Gopalpura,26.8813418,75.78149940000002
Indira Bazar,26.9197323,75.8119935
Jagatpura,26.8176736,75.86171709999999
Jalupura,26.9218817,75.8070013
Janata Colony,26.9076941,75.83523819999999
Jawaharlal Nehru Marg,26.8756079,75.81013759999999
Jawahar Nagar,26.8892814,75.8360422
Jhotwara,26.9545943,75.7455944
Jhotwara Industrial Area,26.9568893,75.7507408
Jhotwara Road,26.9401752,75.7730592
Johari Bazar,26.921113,75.82786180000001
Jyothi Nagar,26.8972839,75.7967371
Kalwar Road,26.9528815,75.6993287
Kartarpur,26.8866128,75.783799
Khatipura,26.9280172,75.7480083
Mahesh Nagar,26.8787862,75.7841892
Malviya Nagar,26.8548662,75.8242966
Mansarovar,26.8504593,75.76277019999999
Mirza Ismail Road,26.9167265,75.8129462
Motidungri Marg,26.9049293,75.8219215
Muralipura,26.9776019,75.76391869999999
New Colony,26.917995,75.8090876
Pink City,26.9124336,75.7872709
Raja Park,26.8947446,75.8301169
Ramganj,26.9202177,75.8308801
Sanganer,26.8191641,75.7659513
Sansar Chandra Road,26.9257407,75.8080339
Sethi Colony,26.903963,75.84104870000002
Shastri Nagar,26.9503102,75.8009833
Shyam Nagar,26.888214,75.7611853
Sikar Road,27.1629134,75.7229062
Sindhi Camp,26.9252337,75.8010876
Sirsi Road,26.9232308,75.6909447
Sitapura Industrial Area,26.7839792,75.8342467
Sodala,26.9059167,75.77273199999999
Subhash Nagar,26.9372752,75.79510239999999
Sudharshanpura Industrial Area,26.8958956,75.79019819999999
Surajpol Bazar,26.9198129,75.84104870000002
Tilak Nagar,26.8945243,75.8213018
Tonk Phatak,26.8792696,75.7908453
Tonk Road,26.831362,75.7941379
Transport Nagar,26.9091785,75.84569359999999
Vaishali Nagar,26.9047751,75.74886409999999
Vidhyadhar Nagar,26.9621084,75.7816265
Vishwakarma Industrial Area,26.997294,75.7854856
