Neighborhood,Pincode,latitude,longitude
A C jobner,303329 ,26.979100000000074,75.34916684800004
A.G.office,302005 ,26.89951074700008,75.79193500000008
Ashoknagar,302001 ,26.930038198008976,75.80509179210249
Achalpura,303908 ,26.635280000000023,76.10363785000004
Achrol,303002 ,27.141260000000045,75.94937599000008
Airport Sanganer,302011 ,26.925730000000044,75.80659000000003
Ajairajpura,303007 ,26.81422006500003,75.55353500000007
Ajmer Road,302006 ,26.91469472400007,75.77727000000004
Akhepura,302013 ,27.044835000000035,75.80582090400003
Akoda,303338 ,26.879625000000033,75.29119745300005
Akodiya,303901 ,26.58943000000005,75.90438374400003
Alisar,303801 ,27.206260000000043,75.57590294600004
Amarpura,303804 ,27.29353375000005,75.75790000000006
Amarsar,303601 ,27.370295000000056,75.83041412800003
Amba Bari,302023 ,26.925730000000044,75.80659000000003
Amer,302028 ,26.991700000000037,75.88563319000008
Amer Clark hotel,302018 ,26.855660000000057,75.80375100000003
Amer Road,302002 ,26.942590714000062,75.83860000000004
Amloda,303120 ,27.18865535200007,76.05820000000006
Anantpura,303712 ,27.260384574000057,75.65916812000006
Andhi,303001 ,27.102760000000046,76.22492738100004
Antela,303119 ,27.451433234000035,76.07370500000007
Arjun Lal sethi nagar,302004 ,26.887956048000035,75.83186000000006
Arp Dhelana,303908 ,26.635280000000023,76.10363785000004
Asalpur,303331 ,26.925730000000044,75.80659000000003
Astikalan,303602 ,27.24932000000007,75.44234680800008
Awania,303007 ,26.81422006500003,75.55353500000007
Badapadampura,303903 ,26.68888000000004,75.91045968200007
Badhal,303602 ,27.24932000000007,75.44234680800008
Badi Jori,303103 ,27.398385000000076,76.02488576700006
Badodia,303103 ,27.398385000000076,76.02488576700006
Badwa,303305 ,26.831415462000052,76.18516500000004
Bagawas,303603 ,27.149745000000053,75.40720517100004
Bagawas Ahiran,303119 ,27.451433234000035,76.07370500000007
Bagawas Choriyasi,303119 ,27.451433234000035,76.07370500000007
Bagru,303007 ,26.81422006500003,75.55353500000007
Bagwara,303805 ,27.11880344900004,75.86183000000005
Bajaj Nagar,302015 ,26.890573800000027,75.79772500000007
Bajrangpura,303119 ,27.451433234000035,76.07370500000007
Banar,303105 ,27.74574989900003,76.08626000000004
Bandha Jamwaramgarh,303109 ,27.03284375900006,76.08377500000006
Banethi,303105 ,27.74574989900003,76.08626000000004
Bani Park,302016 ,26.939149388000033,75.79365000000007
Bansa,303806 ,27.215539957000033,75.83599500000008
Bapu Nagar,302015 ,26.890573800000027,75.79772500000007
Barkat Nagar,302015 ,26.890573800000027,75.79772500000007
Barnagar,303106 ,27.573030000000074,76.02734073000005
Barodiya,303908 ,26.635280000000023,76.10363785000004
Bas Badwa,303302 ,26.744920000000036,76.14260933500003
Baseri Khurd,303603 ,27.149745000000053,75.40720517100004
Basna,302028 ,26.991700000000037,75.88563319000008
Bassi,303301 ,26.833198665000054,76.04988500000007
Bassi Naga,303706 ,26.993295000000046,75.57476113400008
Beelwa,303903 ,26.68888000000004,75.91045968200007
Beelwadi,303102 ,27.450383807000037,76.18665500000003
Begas,303007 ,26.81422006500003,75.55353500000007
Behlod,303120 ,27.18865535200007,76.05820000000006
Benada,303301 ,26.833198665000054,76.04988500000007
Beri,303105 ,27.74574989900003,76.08626000000004
Bhabroo,303119 ,27.451433234000035,76.07370500000007
Bhadwa,303328 ,27.018355000000042,75.43840400000005
Bhainsawa,303603 ,27.149745000000053,75.40720517100004
Bhainslana,303107 ,27.656615000000045,76.05954869400006
Bhaislana,303328 ,27.018355000000042,75.43840400000005
Bhalloji,303110 ,27.603484826000056,76.17118500000004
Bhambhoria,302026 ,26.843485000000044,75.64410060200004
Bhamod,303003 ,27.36365500000005,76.15123780600004
Bhamori,303706 ,26.993295000000046,75.57476113400008
Bhankari,303110 ,27.603484826000056,76.17118500000004
Bhankrota,302026 ,26.843485000000044,75.64410060200004
Bhanpur Kalan,302028 ,26.991700000000037,75.88563319000008
Bhato Ki gali,303701 ,27.08825500000006,75.63969125000006
Bhawani,303001 ,27.102760000000046,76.22492738100004
Bhojpura,303328 ,27.018355000000042,75.43840400000005
Bhonawas,303106 ,27.573030000000074,76.02734073000005
Bhopawa,303807 ,27.229930000000024,75.76533998000008
Bhura Tiba,302001 ,26.930038198008976,75.80509179210249
Bhuri Baraja,303107 ,27.656615000000045,76.05954869400006
Bhurthal,303704 ,27.11987238900008,75.76623500000005
Bhutera,303712 ,27.260384574000057,75.65916812000006
Bichi,303006 ,26.535750000000064,75.67594170400008
Bichoon,303010 ,26.925730000000044,75.80659000000003
Bidara,303103 ,27.398385000000076,76.02488576700006
