Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes
C Scheme,Kanha,"E 62, Bhagat Singh Marg, C Scheme, Jaipur","['Sweet Shop', 'Quick Bites']",₹500,"['North Indian', 'South Indian', 'Fast Food', 'Chinese', 'Beverages']",4.2,995
C Scheme,Stepout Cafe,"P 14, Sehdev Marg, Ashok Nagar, C Scheme, Jaipur","['Café', 'Casual Dining']",₹800,"['Cafe', 'Italian', 'Lebanese', 'Mexican', 'Continental', 'Pizza', 'Street Food']",4.5,1385
C Scheme,Burger Farm,"3 & 4, Trimurty, V-Jai City Point Building, Ahinsa Circle, Near Vodafone Store, C Scheme, Jaipur",['Quick Bites'],₹400,"['Burger', 'Fast Food', 'Beverages']",4.1,1427
C Scheme,Domino's Pizza,"C 18, Silver Square Mall, Bhagwandas Marg, C Scheme, Jaipur",['Quick Bites'],₹700,"['Pizza', 'Fast Food']",3.3,1258
C Scheme,Thali and More,"C-46 B, Sarojini Marg, Above Punjab National Bank, C Scheme, Jaipur",['Casual Dining'],"₹1,100","['North Indian', 'South Indian', 'Chinese', 'Fast Food']",4.4,2339
C Scheme,Little Italy,"C 11, KK Square, C Scheme, Jaipur",['Casual Dining'],"₹2,400","['Italian', 'Mexican', 'Beverages']",4.2,1055
C Scheme,Tapri Central,"B4 E, 3rd Floor, Surana Jewellers, Opposite Central Park, C Scheme, Jaipur",['Café'],₹800,"['Cafe', 'Fast Food', 'Street Food']",4.7,3120
C Scheme,The Yellow House - The Robot Restaurant,"Silver Square Mall, Near Rajmandir Cinema, C Scheme, Jaipur",['Casual Dining'],₹700,"['North Indian', 'Chinese', 'Italian', 'Mexican']",4.3,916
C Scheme,La Palma Cafe and Lounge Bar,"The Hotel Garden View, Subhash Marg, Near Ahinsa Circle, C Scheme, Jaipur",['Café'],"₹1,400","['Italian', 'European', 'Continental']",4.2,825
C Scheme,On The House,"E 145, Ramesh Marg, Behind Talwalkars, C Scheme, Jaipur","['Casual Dining', 'Café']","₹1,500","['Italian', 'Continental', 'Mexican', 'Cafe']",4.2,1572
C Scheme,Taxi Chick-Inn,"F-143, Azad Marg, Ashok Nagar, C Scheme, Jaipur",['Quick Bites'],₹650,['North Indian'],3.8,1399
C Scheme,Masala Ministry,"Man Upasna Mall, Chomu House, C Scheme, Jaipur",['Casual Dining'],"₹1,100","['North Indian', 'Chinese', 'Fast Food', 'Street Food', 'Desserts', 'Beverages']",4.4,1408
C Scheme,Naturals Ice Cream,"A 5, Ground Floor, Suryavanshi Pearl, Sarder Patel Marg, Near Chomu House Circle, C Scheme, Jaipur",['Dessert Parlor'],₹150,['Ice Cream'],4.4,899
C Scheme,Brown Sugar - Restaurant Cafe Bakery,"Aurum Apartment, Tilak Marg, C Scheme, Jaipur","['Café', 'Quick Bites']",₹600,"['Cafe', 'Italian', 'Fast Food']",4.2,1248
C Scheme,Molly Moo,"D 29, Subhash Marg, C Scheme, Jaipur",['Dessert Parlor'],₹300,"['Desserts', 'Ice Cream']",4.4,853
C Scheme,Chawla's Restaurant,"G 1, Shree Gopal Towers, Krishna Marg, C Scheme, Jaipur",['Casual Dining'],"₹1,200","['North Indian', 'Chinese']",3.9,482
C Scheme,Steam - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",['Lounge'],"₹2,800","['Italian', 'Lebanese']",4.5,905
C Scheme,Blackout Club & Terrace,"Hotel Golden Oak, 9th Floor, Ahinsa Circle, Landmark Building, C Scheme, Jaipur","['Bar', 'Club']","₹2,200","['North Indian', 'Italian', 'Continental', 'Finger Food']",4.4,2267
C Scheme,Retreat,"C 94, 8th Floor, Fortune Heights, Subhash Marg, C Scheme, Jaipur","['Lounge', 'Casual Dining']","₹1,400","['North Indian', 'Continental', 'Mexican', 'Italian', 'Chinese']",4.2,559
C Scheme,Subway,"F-188 B, Subhash Marg, C Scheme, Jaipur",['Quick Bites'],₹500,"['Fast Food', 'Healthy Food', 'Sandwich', 'Salad']",4.1,649
C Scheme,Social Vibes,"6th Floor, Mall 21, Bhagwandas Road, Opposite Rajmandir Cinema, C Scheme, Jaipur","['Lounge', 'Casual Dining']","₹1,600","['North Indian', 'Continental', 'Chinese']",4.1,525
C Scheme,Oven The Bakery And Cafe,"Ground Floor, Landmark Building, Ahinsa Circle, C Scheme, Jaipur","['Café', 'Bakery']",₹800,"['Cafe', 'Bakery']",3.8,571
C Scheme,Miss Baker's,"Shilmohar Plaza, Opposite Udyog Bhawan, Tilak Marg, C Scheme, Jaipur",['Bakery'],₹150,"['Bakery', 'Desserts']",4.0,517
C Scheme,Mad'Ouk - Magic In Making,"J 26, Subhash Marg, C Scheme, Jaipur",['Café'],"₹1,000","['Cafe', 'North Indian', 'Healthy Food']",4.0,536
C Scheme,Home Café by Mr Beans,"E 141 A, Sardar Patel Marg, C Scheme, Jaipur",['Café'],"₹1,000","['Cafe', 'Continental', 'Fast Food']",4.1,538
C Scheme,V2 Fine Dining Restaurant,"Central Park Gate 4, Vivekanand Marg, Near B5, Opposite Okay Diagnostic, C Scheme, Jaipur",['Casual Dining'],"₹1,000","['North Indian', 'South Indian', 'Fast Food', 'Chinese']",4.0,568
C Scheme,Crazy Coffee,"C 39, Lajpat Marg, Ashok Nagar, C Scheme, Jaipur",['Café'],₹400,"['Cafe', 'Fast Food']",4.5,395
C Scheme,ATOM - Authentic Taste Of Mumbai,"F 177B, Subhash Marg, C Scheme, Jaipur",[],₹300,"['Fast Food', 'Street Food', 'Beverages']",4.0,319
C Scheme,Corner House,"F 31, Azad Marg, Ashok Nagar, C Scheme, Jaipur","['Casual Dining', 'Café']","₹1,200","['North Indian', 'Chinese', 'Italian', 'Beverages', 'Ice Cream']",4.0,371
C Scheme,Pizzitalia,"G-8, J54 C, Sunrise Building, Prithviraj Road, C Scheme, Jaipur",['Quick Bites'],₹500,"['Fast Food', 'Pizza', 'Beverages']",3.2,473
C Scheme,Pizzitalia,"G-8, J54 C, Sunrise Building, Prithviraj Road, C Scheme, Jaipur",['Quick Bites'],₹500,"['Fast Food', 'Pizza', 'Beverages']",3.2,473
C Scheme,Tea Tradition,"D 29-A, Chandra Niwas, Subhash Marg, C Scheme, Jaipur",['Café'],₹450,"['Cafe', 'Fast Food']",4.0,334
C Scheme,The Juice Shop,"J 2, Jamnalal Bajaj Marg, Ashok Nagar, C Scheme, Jaipur","['Beverage Shop', 'Quick Bites']",₹400,"['Juices', 'Beverages', 'Healthy Food', 'Chinese', 'Fast Food']",4.1,299
C Scheme,Aunty's Cafe,"20, Nigam Chat Bazaar, Sarojini Marg, C Scheme, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Chinese', 'South Indian', 'Fast Food', 'Street Food']",2.3,418
C Scheme,LOL,"8th Floor, Ambition Tower, Agrasen Circle, C Scheme, Jaipur",['Casual Dining'],"₹1,200","['Italian', 'North Indian', 'Chinese', 'Mexican']",3.9,298
C Scheme,Jaipur Modern Kitchen,"51, Sardar Patel Marg, Dhuleshwar Garden Crossing, C Scheme, Jaipur",['Casual Dining'],"₹1,600","['Italian', 'Mediterranean']",3.9,269
C Scheme,The Feast,"E92, Ground Floor, Coral Castle, Subhash Marg, C Scheme, Jaipur","['Café', 'Bakery']",₹650,"['Cafe', 'Bakery', 'Italian']",4.0,256
C Scheme,Mix Tape Bistro,"E-141, A /3, Sardar Patel Marg, C Scheme, Jaipur","['Café', 'Casual Dining']",₹800,"['Cafe', 'North Indian', 'Mexican', 'Fast Food']",4.0,295
C Scheme,Sagar Ratna,"J-34, Subhash Marg, Bagadiya Bhawan, C Scheme, Jaipur",['Casual Dining'],₹550,"['South Indian', 'North Indian', 'Chinese']",4.4,332
C Scheme,Blue Tokai Coffee Roasters,"101, 1st Floor, Suryavanshi Pearl, A-5 Chomu House, Sardar Patel Marg, C Scheme, Jaipur",['Café'],₹900,"['Cafe', 'Coffee']",4.2,238
C Scheme,Midtown Restaurant,"C-93, Shubash Marg, Near Ahinsa Cirlce, C Scheme, Jaipur",['Casual Dining'],₹750,"['North Indian', 'Chinese', 'Fast Food']",3.8,344
C Scheme,Brown Bites,"E-143, Ramesh Marg, C Scheme, Jaipur","['Café', 'Bakery']",₹400,"['Cafe', 'Bakery']",3.8,232
C Scheme,Apsara Ice Creams,"Shop 1, Ground Floor, Aurum Building, Tilak Marg, C Scheme, Jaipur",['Dessert Parlor'],₹200,"['Ice Cream', 'Desserts']",4.2,233
C Scheme,Nothing Before Coffee,"Opposite Mahaveer College Gate 2, Mahaveer Marg, C Scheme",['Beverage Shop'],₹400,"['Cafe', 'Fast Food']",4.2,219
C Scheme,Suvarna Mahal - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",['Fine Dining'],"₹5,000","['North Indian', 'Awadhi', 'Hyderabadi']",4.2,209
C Scheme,Sri Motu Ram Prasadam Original,"Shop 1, Yudhishtir Marg, Near Ashok Nagar Police Station, C Scheme, Jaipur",['Casual Dining'],₹800,"['North Indian', 'South Indian', 'Rajasthani']",4.2,191
C Scheme,Ten Twisters,"4th Floor, The Landmark, Ahinsa Circle, C Scheme, Jaipur",['Casual Dining'],"₹1,800","['North Indian', 'Continental', 'Chinese', 'Asian']",4.1,199
C Scheme,Looters,"F-163, Chaitanya Marg, C Scheme, Jaipur",['Quick Bites'],₹300,"['Fast Food', 'Beverages']",4.1,195
C Scheme,Karim's,"15-A, Parivahan Marg, Near Civil Lines Fatak, C Scheme, Jaipur",['Casual Dining'],₹800,"['Mughlai', 'North Indian', 'Kebab']",3.3,311
C Scheme,Roll Express,"Residency Masjid, Ramesh Marg, C Scheme, Jaipur",[],₹300,['Rolls'],3.6,365
C Scheme,Kota Kachori-Falahaar,"Trimurti Mall, Ahinsa Circle, C Scheme, Jaipur",['Quick Bites'],₹150,"['Street Food', 'Mithai']",3.9,344
C Scheme,Big Slick,"C-81 A, Azad Marg, C Scheme, Jaipur",['Quick Bites'],₹600,"['Burger', 'Fast Food']",4.0,244
C Scheme,Jaipur Hot Breads,"C 76, Sarojini Marg, C Scheme, Jaipur",['Bakery'],₹100,['Bakery'],3.9,210
C Scheme,Sammy Singh's Rooftop,"Hotel Garden View, Subhash Marg, C Scheme, Jaipur",['Lounge'],"₹1,700","['North Indian', 'Chinese', 'Fast Food', 'Italian']",3.8,116
C Scheme,The Rajput Room - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",['Fine Dining'],"₹4,000","['North Indian', 'Continental', 'Asian']",4.2,159
